ENTITAT CREDITORA;ENDEUTAMENT PENDENT A 31/12/2021
BBVA;52.505.387,51
BANC SABADELL;24.319.994,92
CAIXABANK;10.999.753,61
CAJAMAR;9.318.798,34
MINISTERIO;8.316.269,30
LIBERBANK;7.680.505,38
DEXIA;7.091.649,41
BANKIA;6.797.826,46
BANCO SANTANDER;5.142.233,70
CAIXA ENGINYERS;3.045.403,14
ICF;2.747.944,24
DIPUTACIÓ BARCELONA;570.000,00
GENERALITAT DE CATALUNYA;520.185,00
ICO;150.884,93
BANCO POPULAR;85.800,28
PENDENT RETORN PIE 2008 I 2009;4.419.461,26
TOTAL GENERAL;143.712.097,48
