,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,Fin de la pobreza,Hambre cero,Salud y bienestar,Educación de calidad,Igualdad de género,,Energía asequible y no contaminante,Trabajo decente y crecimiento económico,"Industria, innovación e infraestructrura",Reducción de las desigualdades,Ciudades y comunidades sostenibles,Ciudades y comunidades sostenibles,Acción por el clima,Acción por el clima,Vida de ecosistemas terrestres,"Paz, justicia e instituciones sólidas",Alianzas para lograr los objetivos
BIENESTAR SOCIAL COMUNITARIO,,350000,24815281,510356,,,,,,59604,,,,,,,20000
INFRAESTRUCTURA MEDIO AMBIENTE Y PLANIFICACIÓN,,,863900,35000,,,710000,6491587,2895000,,10741400,,,,100000,,
CONCERTACIÓN,,,,,,,,,,2000000,,,,,,4556000,
INNOVACIÓN,,,,,,,,,1049952,,,,,,,1066292,
DESARROLLO LOCAL E INNOVACIÓN EMPRESARIAL,,,,,,,,1594855,,,,,,,,,59185
CULTURA,,,,25000,,,,688668,,,403668,,,,,,
PRESIDENCIA,3751,,26000,,,,,750500,,119000,47990,,,,,120000,
COOPERACIÓN INTERNACIONAL,407000,25000,73000,65000,25000,,,,,,,,,,,,155000
DEPORTE,,,737700,,,,,,,,,,,,,,
UNIDAD DE GESTIÓN DE LA RABIDA,,,,,,,,519468,,,,,,,,,
CENTRO DEL VINO,,,,,,,,305000,,,,,,,,,
HUELVA INTELIGENTE,,,,,,,,,,,,,,,,,265000
IGUALDAD,,,,40000,157759,,,8000,,,10000,,12000,,,,
BIBLIOTECA,,,,,,,,,,,105500,,,,,,
ARCHIVO,,,,,,,,,,,59000,,,,,,
DROGODEPENDENCIA,,,28000,,,,,,,,,,,,,,
PREVENCIÓN,,,28000,,,,,,,,,,,,,,
